gkz_arbeit,gkz_wohn,pendler
08111000,08236075,49
08111000,08236076,83
08111000,08237002,26
08111000,08237004,66
08111000,08237019,55
08111000,08237024,69
08111000,08237027,152
08111000,08237028,141
08111000,08237030,10
08111000,08237040,455
08111000,08237045,44
08111000,08237054,36
08111000,08237061,19
08111000,08237073,12
08111000,08237074,49
08111000,08311000,521
08111000,08316011,41
08111000,08317001,49
08111000,08317056,10
08111000,08317065,42
08111000,08317089,29
08111000,08317096,123
08111000,08317116,11
08111000,08325001,15
08111000,08325009,18
08111000,08325011,35
08111000,08325012,48
08111000,08325014,18
08111000,08325015,29
08111000,08325036,34
08111000,08325045,113
08111000,08325049,176
08111000,08325053,73
08111000,08325057,155
08111000,08325060,18
08111000,08325061,58
08111000,08325064,15
08111000,08325069,46
08111000,08325070,12
08111000,08325072,22
08111000,08326012,52
08111000,08326041,31
08111000,08326074,257
08111000,08327002,27
08111000,08327017,12
08111000,08327046,42
08111000,08327050,90
08111000,08335043,244
08111000,08335063,78
08111000,08335075,89
08111000,08415014,214
08111000,08415019,207
08111000,08415027,25
08111000,08415028,20
08111000,08415029,89
08111000,08415034,18
08111000,08415039,47
08111000,08415048,11
08111000,08415050,555
08111000,08415053,137
08111000,08415058,15
08111000,08415059,298
08111000,08415060,450
08111000,08415061,2585
08111000,08415062,118
08111000,08415073,57
08111000,08415078,169
08111000,08415080,167
08111000,08415085,16
08111000,08415087,284
08111000,08415088,54
08111000,08415089,60
08111000,08415090,28
08111000,08415091,66
08111000,08415092,117
08111000,08415093,79
08111000,08416006,58
08111000,08416009,319
08111000,08416011,86
08111000,08416015,139
08111000,08416018,41
08111000,08416022,191
08111000,08416023,232
08111000,08416025,264
08111000,08416026,55
08111000,08416031,57
08111000,08416036,888
08111000,08416041,2352
08111000,08416048,387
08111000,08416049,80
08111000,08416050,104
08111000,08417002,337
08111000,08417008,112
08111000,08417010,18
08111000,08417013,71
08111000,08417016,22
08111000,08417022,50
08111000,08417023,21
08111000,08417025,142
08111000,08417031,167
08111000,08417036,13
08111000,08417044,58
08111000,08417047,10
08111000,08417051,49
08111000,08417054,61
08111000,08417057,27
08111000,08417075,41
08111000,08417079,247
08111000,08421000,1132
08111000,08425002,23
08111000,08425005,18
08111000,08425008,54
08111000,08425014,12
08111000,08425017,11
08111000,08425019,21
08111000,08425020,84
08111000,08425031,89
08111000,08425033,111
08111000,08425039,69
08111000,08425064,10
08111000,08425066,12
08111000,08425071,129
08111000,08425072,125
08111000,08425075,53
08111000,08425079,26
08111000,08425081,27
08111000,08425084,17
08111000,08425097,12
08111000,08425104,10
08111000,08425108,41
08111000,08425112,10
08111000,08425130,11
08111000,08425134,57
08111000,08425135,20
08111000,08425137,34
08111000,08425138,12
08111000,08425139,48
08111000,08425141,119
08111000,08426001,15
08111000,08426011,10
08111000,08426013,18
08111000,08426021,192
08111000,08426028,14
08111000,08426035,10
08111000,08426045,16
08111000,08426067,15
08111000,08426070,78
08111000,08426073,18
08111000,08426097,44
08111000,08426124,20
08111000,08426128,41
08111000,08426134,33
08111000,08435016,193
08111000,08435059,72
08111000,08436009,51
08111000,08436055,58
08111000,08436064,203
08111000,08436081,73
08111000,08436082,79
08111000,08437008,20
08111000,08437031,50
08111000,08437044,18
08111000,08437053,11
08111000,08437059,15
08111000,08437065,25
08111000,08437072,11
08111000,08437076,28
08111000,08437082,10
08111000,08437100,44
08111000,08437101,12
08111000,08437104,90
08111000,08437105,16
08111000,08437107,15
